id_departamento,Rango etario,Casos,%,Acumulado %
02101,0 a 2,5368,2.4289482853018765,2.4289482853018765
02101,12 a 18,17171,7.769648101139815,10.198596386441691
02101,19 a 29,42832,19.380907778697836,29.579504165139525
02101,3 a 5,6851,3.09998597291415,32.67949013805368
02101,30 a 45,56682,25.64784774729526,58.32733788534894
02101,46 a 60,38072,17.22707137071778,75.55440925606672
02101,6 a 11,14886,6.735716127981322,82.29012538404804
02101,< 60,39139,17.709874615951964,100.0
,,,,
,,,,
02102,0 a 2,3095,1.9270402032264693,1.9270402032264693
02102,12 a 18,10410,6.48157948807352,8.40861969129999
02102,19 a 29,34585,21.533662497120336,29.942282188420325
02102,3 a 5,3521,2.1922806318450396,32.134562820265366
02102,30 a 45,36161,22.514927556986223,54.64949037725159
02102,46 a 60,26272,16.357738358373442,71.00722873562503
02102,6 a 11,7503,4.671593746303134,75.67882248192817
02102,< 60,39062,24.321177518071842,100.0
,,,,
,,,,
02103,0 a 2,4021,2.077638901088681,2.077638901088681
02103,12 a 18,14359,7.41925316606127,9.49689206714995
02103,19 a 29,34474,17.81261464216145,27.3095067093114
02103,3 a 5,5197,2.6852746503252605,29.99478135963666
02103,30 a 45,49637,25.64729224902732,55.64207360866398
02103,46 a 60,35292,18.235272841885532,73.87734645054951
02103,6 a 11,11820,6.107359316306442,79.98470576685595
02103,< 60,38737,20.015294233144047,100.0
,,,,
,,,,
02104,0 a 2,5724,2.5213193318768057,2.5213193318768057
02104,12 a 18,22147,9.755356261893015,12.27667559376982
02104,19 a 29,37051,16.32030093734583,28.59697653111565
02104,3 a 5,8119,3.5762738741278457,32.17325040524349
02104,30 a 45,55333,24.37319402353936,56.546444428782856
02104,46 a 60,39752,17.510042991049403,74.05648741983225
02104,6 a 11,19242,8.475755867221087,82.53224328705335
02104,< 60,39656,17.46775671294665,100.0
,,,,
,,,,
02105,0 a 2,3669,1.9064791191432535,1.9064791191432535
02105,12 a 18,13494,7.011727782425474,8.918206901568727
02105,19 a 29,29390,15.271578444159232,24.18978534572796
02105,3 a 5,4779,2.483255304002619,26.673040649730577
02105,30 a 45,50973,26.48649772147426,53.15953837120484
02105,46 a 60,36124,18.770687298972717,71.93022567017755
02105,6 a 11,11151,5.794262376006111,77.72448804618367
02105,< 60,42869,22.275511953816334,100.0
,,,,
,,,,
02106,0 a 2,4024,1.9944093098867983,1.9944093098867983
02106,12 a 18,14351,7.112765409091811,9.107174718978609
02106,19 a 29,26909,13.336868817033762,22.444043536012373
02106,3 a 5,5158,2.556452092543764,25.000495628556134
02106,30 a 45,51862,25.70428817826768,50.70478380682381
02106,46 a 60,38415,19.03957098392181,69.74435479074563
02106,6 a 11,11819,5.857833904958268,75.60218869570389
02106,< 60,49226,24.39781130429611,100.0
,,,,
,,,,
02107,0 a 2,4653,2.1818232971649896,2.1818232971649896
02107,12 a 18,17938,8.41125001172267,10.593073308887659
02107,19 a 29,30728,14.40856786487982,25.00164117376748
02107,3 a 5,6129,2.8739297202502083,27.875570894017688
02107,30 a 45,51324,24.066172126304732,51.94174302032242
02107,46 a 60,40325,18.908666335305867,70.85040935562829
02107,6 a 11,14705,6.895274357363243,77.74568371299154
02107,< 60,47460,22.254316287008468,100.0
,,,,
,,,,
02108,0 a 2,6126,3.0045907557090166,3.0045907557090166
02108,12 a 18,23814,11.679941928902142,14.68453268461116
02108,19 a 29,35748,17.533155457898452,32.217688142509616
02108,3 a 5,8442,4.140508514478538,36.35819665698815
02108,30 a 45,47505,23.29955661932041,59.657753276308554
02108,46 a 60,33059,16.214294122263205,75.87204739857177
02108,6 a 11,20231,9.922604567213373,85.79465196578514
02108,< 60,28963,14.205348034214863,100.0
,,,,
,,,,
02109,0 a 2,3558,2.119017557233723,2.119017557233723
02109,12 a 18,15783,9.39979036138838,11.518807918622104
02109,19 a 29,23969,14.275079210043595,25.7938871286657
02109,3 a 5,5015,2.9867546513566956,28.780641780022393
02109,30 a 45,38525,22.944112251947494,51.72475403196989
02109,46 a 60,32514,19.364175619982372,71.08892965195226
02109,6 a 11,12293,7.321271172308645,78.4102008242609
02109,< 60,36251,21.589799175739095,100.0
,,,,
,,,,
02110,0 a 2,3510,2.041932331176991,2.041932331176991
02110,12 a 18,14313,8.326546283799505,10.368478614976496
02110,19 a 29,23110,13.444175548005772,23.81265416298227
02110,3 a 5,4745,2.7603900032577835,26.573044166240052
02110,30 a 45,40533,23.579955321822496,50.15299948806255
02110,46 a 60,33351,19.40184762879881,69.55484711686135
02110,6 a 11,11227,6.531274724251873,76.08612184111323
02110,< 60,41107,23.91387815888677,100.0
,,,,
,,,,
02111,0 a 2,3987,1.974691067581288,1.974691067581288
02111,12 a 18,16167,8.007231123548204,9.981922191129492
02111,19 a 29,26526,13.137861865728931,23.11978405685842
02111,3 a 5,5321,2.63539783561576,25.755181892474184
02111,30 a 45,48258,23.901339738986156,49.656521631460336
02111,46 a 60,40128,19.874693543993462,69.53121517545381
02111,6 a 11,12673,6.276714296327481,75.80792947178128
02111,< 60,48845,24.192070528218718,100.0
,,,,
,,,,
02112,0 a 2,5266,2.237385496507537,2.237385496507537
02112,12 a 18,17067,7.251321357556806,9.488706854064343
02112,19 a 29,30339,12.890246596760763,22.378953450825108
02112,3 a 5,6676,2.836457572101086,25.21541102292619
02112,30 a 45,64766,27.517377338930338,52.73278836185653
02112,46 a 60,44141,18.754354956577895,71.48714331843442
02112,6 a 11,14758,6.270287724545811,77.75743104298023
02112,< 60,52351,22.242568957019763,100.0
,,,,
,,,,
02113,0 a 2,5504,2.098120687683452,2.098120687683452
02113,12 a 18,18938,7.219151450463157,9.31727213814661
02113,19 a 29,36372,13.86497922464072,23.18225136278733
02113,3 a 5,6553,2.49799870392254,25.68025006670987
02113,30 a 45,64918,24.746693096481533,50.4269431631914
02113,46 a 60,50699,19.326420920214996,69.7533640834064
02113,6 a 11,15147,5.774025082910837,75.52738916631723
02113,< 60,64199,24.472610833682765,100.0
,,,,
,,,,
02114,0 a 2,5214,2.108779706534224,2.108779706534224
02114,12 a 18,15406,6.230889942245159,8.339669648779383
02114,19 a 29,43143,17.448999401420412,25.788669050199793
02114,3 a 5,5701,2.305744746250789,28.094413796450585
02114,30 a 45,64307,26.0086874929222,54.10310128937279
02114,46 a 60,43622,17.642728875802824,71.7458301651756
02114,6 a 11,12462,5.040201899276851,76.78603206445246
02114,< 60,57397,23.21396793554754,100.0
,,,,
,,,,
02105,0 a 2,4060,2.0792256676823806,2.0792256676823806
02105,12 a 18,14307,7.326965918111285,9.406191585793666
02105,19 a 29,28820,14.75942949325276,24.165621079046424
02105,3 a 5,5328,2.7285995954216062,26.89422067446803
02105,30 a 45,53610,27.454997055283847,54.34921772975188
02105,46 a 60,36265,18.572196758251607,72.92141448800348
02105,6 a 11,12072,6.182367551788595,79.10378203979208
02105,< 60,40803,20.89621796020792,100.0
,,,,
,,,,
06007,0 a 2,560,3.2287822878228782,3.2287822878228782
06007,12 a 18,1671,9.634455719557195,12.863238007380073
06007,19 a 29,2363,13.62430811808118,26.48754612546125
06007,3 a 5,732,4.2204797047970475,30.7080258302583
06007,30 a 45,3776,21.771217712177123,52.47924354243543
06007,46 a 60,3324,19.165129151291513,71.64437269372694
06007,6 a 11,1463,8.43519372693727,80.07956642066421
06007,< 60,3455,19.920433579335793,100.0
,,,,
,,,,
06014,0 a 2,427,3.3237331672764068,3.3237331672764068
06014,12 a 18,1387,10.796294854829922,14.120028022106329
06014,19 a 29,1880,14.633766638125634,28.75379466023196
06014,3 a 5,523,4.070989336031759,32.82478399626372
06014,30 a 45,2770,21.561454035961702,54.38623803222542
06014,46 a 60,2170,16.891102981240756,71.27734101346618
06014,6 a 11,1184,9.216159414649335,80.49350042811551
06014,< 60,2506,19.506499571884486,100.0
,,,,
,,,,
06021,0 a 2,409,3.1690686502401983,3.1690686502401983
06021,12 a 18,1410,10.92515109251511,14.094219742755309
06021,19 a 29,1619,12.54455292112196,26.63877266387727
06021,3 a 5,495,3.8354253835425385,30.474198047419808
06021,30 a 45,2795,21.65659383232605,52.13079187974586
06021,46 a 60,2125,16.465209979854333,68.5960018596002
06021,6 a 11,1166,9.034557570122423,77.63055942972261
06021,< 60,2887,22.36944057027739,100.0
,,,,
,,,,
06028,0 a 2,18574,3.1847931016153725,3.1847931016153725
06028,12 a 18,68125,11.68106116332224,14.865854264937614
06028,19 a 29,100354,17.207210451141872,32.073064716079486
06028,3 a 5,25188,4.318863392025843,36.39192810810533
06028,30 a 45,134756,23.10595344036186,59.49788154846719
06028,46 a 60,94675,16.23346004605553,75.73134159452272
06028,6 a 11,58015,9.94754882040572,85.67889041492843
06028,< 60,83522,14.321109585071563,100.0
,,,,
,,,,
06035,0 a 2,9616,2.626482791020357,2.626482791020357
06035,12 a 18,37923,10.35816419341358,12.984646984433937
06035,19 a 29,57825,15.794131384229631,28.77877836866357
06035,3 a 5,13168,3.5966644542591575,32.37544282292273
06035,30 a 45,84756,23.149976646809627,55.525419469732356
06035,46 a 60,64199,17.53510489816097,73.06052436789332
06035,6 a 11,31635,8.640680438220569,81.70120480611389
06035,< 60,66995,18.298795193886107,100.0
,,,,
,,,,
06042,0 a 2,714,3.2817024405938318,3.2817024405938318
06042,12 a 18,2541,11.678999862113344,14.960702302707176
06042,19 a 29,3173,14.583812106448498,29.544514409155674
06042,3 a 5,985,4.527278577009699,34.07179298616537
06042,30 a 45,4842,22.254906466884222,56.3266994530496
06042,46 a 60,3555,16.339568874385254,72.66626832743485
06042,6 a 11,2051,9.426851128372478,82.09311945580733
06042,< 60,3896,17.906880544192674,100.0
,,,,
,,,,
06049,0 a 2,2304,3.0657866723440494,3.0657866723440494
06049,12 a 18,8263,10.995050031935277,14.060836704279327
06049,19 a 29,11266,14.99095167127954,29.051788375558864
06049,3 a 5,3086,4.106344475196934,33.1581328507558
06049,30 a 45,16272,21.65211837342985,54.81025122418565
06049,46 a 60,12836,17.08005109644454,71.89030232063018
06049,6 a 11,7022,9.343730040451351,81.23403236108155
06049,< 60,14103,18.76596763891846,100.0
,,,,
,,,,
06056,0 a 2,10099,3.0190879060103737,3.0190879060103737
06056,12 a 18,33554,10.030941241536,13.050029147546374
06056,19 a 29,55510,16.594669735878387,29.64469888342476
06056,3 a 5,12522,3.743441802065739,33.3881406854905
06056,30 a 45,79463,23.75539976980912,57.14354045529962
06056,46 a 60,55272,16.523519827805263,73.66706028310489
06056,6 a 11,29136,8.710183704279457,82.37724398738435
06056,< 60,58949,17.622756012615657,100.0
,,,,
,,,,
06063,0 a 2,1665,3.431857531535988,3.431857531535988
06063,12 a 18,4982,10.268777310577953,13.70063484211394
06063,19 a 29,7041,14.512738065792727,28.213372907906667
06063,3 a 5,1973,4.06669964547778,32.28007255338445
06063,30 a 45,10752,22.16176106851348,54.44183362189793
06063,46 a 60,8428,17.37158875422541,71.81342237612334
06063,6 a 11,4356,8.978481325748207,80.79190370187155
06063,< 60,9319,19.208096298128453,100.0
,,,,
,,,,
06070,0 a 2,1528,3.8956734569002878,3.8956734569002878
06070,12 a 18,4484,11.432067919333043,15.32774137623333
06070,19 a 29,6363,16.22262448053438,31.550365856767712
06070,3 a 5,1697,4.326543099711904,35.87690895647962
06070,30 a 45,8851,22.56584147056574,58.442750427045354
06070,46 a 60,6351,16.192030186370243,74.6347806134156
06070,6 a 11,3706,9.448537847691405,84.083318461107
06070,< 60,6243,15.916681538892997,100.0
,,,,
,,,,
06077,0 a 2,1209,3.769055709698538,3.769055709698538
06077,12 a 18,3457,10.77719238083362,14.546248090532158
06077,19 a 29,5177,16.139289833837328,30.685537924369484
06077,3 a 5,1435,4.473610375035072,35.15914829940456
06077,30 a 45,7050,21.978364560276834,57.137512859681394
06077,46 a 60,5247,16.357514730180505,73.4950275898619
06077,6 a 11,3046,9.495900489447267,82.99092807930917
06077,< 60,5456,17.00907192069084,100.0
,,,,
,,,,
06084,0 a 2,692,3.266462119424121,3.266462119424121
06084,12 a 18,2380,11.234363936747698,14.50082605617182
06084,19 a 29,2962,13.981590748170875,28.482416804342694
06084,3 a 5,916,4.323814019353316,32.80623082369601
06084,30 a 45,4429,20.90630162851074,53.71253245220675
06084,46 a 60,3733,17.62095822515931,71.33349067736606
06084,6 a 11,1912,9.025253717252774,80.35874439461884
06084,< 60,4161,19.641255605381165,100.0
,,,,
,,,,
06091,0 a 2,10963,3.059487397021723,3.059487397021723
06091,12 a 18,41619,11.6147775222701,14.674264919291822
06091,19 a 29,60272,16.82034337255252,31.494608291844344
06091,3 a 5,14843,4.14229421089058,35.63690250273493
06091,30 a 45,83327,23.254392623518115,58.89129512625304
06091,46 a 60,60377,16.849646134268045,75.74094126052108
06091,6 a 11,35310,9.854100154048805,85.59504141456989
06091,< 60,51617,14.404958585430109,100.0
,,,,
,,,,
06098,0 a 2,3377,3.354024929234742,3.354024929234742
06098,12 a 18,11412,11.334359636490044,14.688384565724785
06098,19 a 29,16999,16.883349058946216,31.571733624671
06098,3 a 5,4327,4.297561702338978,35.86929532700998
06098,30 a 45,23227,23.068977504096935,58.938272831106914
06098,46 a 60,16521,16.408601082584298,75.34687391369121
06098,6 a 11,10089,10.020360530366986,85.3672344440582
06098,< 60,14733,14.632765555941798,100.0
,,,,
,,,,
06105,0 a 2,1240,3.3338710544711514,3.3338710544711514
06105,12 a 18,3767,10.127977630800666,13.461848685271818
06105,19 a 29,5181,13.929666075173417,27.391514760445233
06105,3 a 5,1590,4.274883045652524,31.66639780609776
06105,30 a 45,8019,21.55992902080981,53.22632682690757
06105,46 a 60,6209,16.693552723557563,69.91987955046514
06105,6 a 11,3296,8.861644351239448,78.78152390170459
06105,< 60,7892,21.218476098295426,100.0
,,,,
,,,,
06112,0 a 2,1476,3.19293919138166,3.19293919138166
06112,12 a 18,4902,10.60419235511714,13.7971315464988
06112,19 a 29,6432,13.913946394963983,27.711077941462783
06112,3 a 5,1884,4.0755402686741515,31.786618210136936
06112,30 a 45,10044,21.72756181452398,53.51418002466092
06112,46 a 60,7876,17.03766197244035,70.55184199710126
06112,6 a 11,4108,8.886581435092046,79.43842343219332
06112,< 60,9505,20.561576567806693,100.0
,,,,
,,,,
06119,0 a 2,1113,3.4404945904173103,3.4404945904173103
06119,12 a 18,4101,12.676970633693971,16.11746522411128
06119,19 a 29,5100,15.765069551777433,31.882534775888715
06119,3 a 5,1475,4.559505409582689,36.442040185471406
06119,30 a 45,7244,22.39258114374034,58.83462132921174
06119,46 a 60,5276,16.309119010819163,75.1437403400309
06119,6 a 11,3406,10.528593508500773,85.67233384853168
06119,< 60,4635,14.327666151468316,100.0
,,,,
,,,,
06126,0 a 2,3492,3.2340520115581244,3.2340520115581244
06126,12 a 18,12722,11.782247906942283,15.016299918500408
06126,19 a 29,18160,16.81855227087501,31.834852189375418
06126,3 a 5,4628,4.28613766022079,36.12098984959621
06126,30 a 45,25200,23.338519671038007,59.459509520634214
06126,46 a 60,17725,16.41568496702971,75.87519448766392
06126,6 a 11,10711,9.919796991924132,85.79499147958805
06126,< 60,15338,14.205008520411944,100.0
,,,,
,,,,
06134,0 a 2,2650,3.7566272575203423,3.7566272575203423
06134,12 a 18,8920,12.644949108332623,16.401576365852964
06134,19 a 29,11542,16.361883700490488,32.763460066343455
06134,3 a 5,3575,5.06790280967367,37.831362876017124
06134,30 a 45,16919,23.98429304527799,61.81565592129511
06134,46 a 60,10612,15.043520172379576,76.85917609367469
06134,6 a 11,8115,11.50378497916135,88.36296107283604
06134,< 60,8209,11.637038927163958,100.0
,,,,
,,,,
06140,0 a 2,555,3.4945221004911224,3.4945221004911224
06140,12 a 18,1686,10.61579146203249,14.110313562523613
06140,19 a 29,2495,15.709608361667296,29.819921924190908
06140,3 a 5,625,3.9352726356882006,33.75519455987911
06140,30 a 45,3805,23.957939806069763,57.713134365948875
06140,46 a 60,2620,16.496662888804934,74.20979725475381
06140,6 a 11,1468,9.243168366704445,83.45296562145825
06140,< 60,2628,16.547034378541746,100.0
,,,,
,,,,
06147,0 a 2,752,3.2831259550316525,3.2831259550316525
06147,12 a 18,2474,10.801135123335516,14.084261078367168
06147,19 a 29,3438,15.009823182711198,29.094084261078365
06147,3 a 5,979,4.274175944117005,33.36826020519537
06147,30 a 45,5011,21.877319362584586,55.245579567779956
06147,46 a 60,4039,17.633704431346867,72.87928399912683
06147,6 a 11,2127,9.28618205631958,82.1654660554464
06147,< 60,4085,17.83453394455359,100.0
,,,,
,,,,
06154,0 a 2,479,3.419718712072535,3.419718712072535
06154,12 a 18,1492,10.651816948668523,14.071535660741059
06154,19 a 29,1965,14.028699935746413,28.100235596487472
06154,3 a 5,628,4.483472549439567,32.58370814592704
06154,30 a 45,2912,20.789605197401297,53.373313343328334
06154,46 a 60,2460,17.56264724780467,70.93596059113301
06154,6 a 11,1331,9.5023916613122,80.4383522524452
06154,< 60,2740,19.561647747554794,100.0
,,,,
,,,,
06161,0 a 2,658,3.7936004612280194,3.7936004612280194
06161,12 a 18,2009,11.582588642260017,15.376189103488036
06161,19 a 29,2727,15.722110118189681,31.098299221677717
06161,3 a 5,785,4.525799942346498,35.624099164024216
06161,30 a 45,3951,22.7788988181032,58.40299798212742
06161,46 a 60,2751,15.860478524070338,74.26347650619775
06161,6 a 11,1627,9.380224848659555,83.64370135485731
06161,< 60,2837,16.35629864514269,100.0
,,,,
,,,,
06168,0 a 2,344,3.6017170976861057,3.6017170976861057
06168,12 a 18,1029,10.773740969531985,14.37545806721809
06168,19 a 29,1548,16.207726939587477,30.583185006805568
06168,3 a 5,416,4.355564862318082,34.93874986912365
06168,30 a 45,2120,22.19662862527484,57.135378494398495
06168,46 a 60,1596,16.710292116008794,73.84567061040728
06168,6 a 11,888,9.297455763794368,83.14312637420166
06168,< 60,1610,16.856873625798347,100.0
,,,,
,,,,
06175,0 a 2,902,3.291250091220901,3.291250091220901
06175,12 a 18,2994,10.924615047799751,14.215865139020652
06175,19 a 29,4370,15.945413413121216,30.161278552141866
06175,3 a 5,1112,4.0575056556958335,34.2187842078377
06175,30 a 45,6104,22.272495074071372,56.49127928190907
06175,46 a 60,4530,16.529227176530686,73.02050645843975
06175,6 a 11,2418,8.82288549952565,81.84339195796541
06175,< 60,4976,18.15660804203459,100.0
,,,,
,,,,
06182,0 a 2,2021,3.0703553469152123,3.0703553469152123
06182,12 a 18,7493,11.38355893836501,14.453914285280222
06182,19 a 29,10660,16.194947054980783,30.648861340261007
06182,3 a 5,2684,4.077602053993285,34.72646339425429
06182,30 a 45,14640,22.24146574905428,56.96792914330857
06182,46 a 60,10912,16.5777919572186,73.54572110052717
06182,6 a 11,6284,9.546814943104993,83.09253604363217
06182,< 60,11129,16.907463956367835,100.0
,,,,
,,,,
06189,0 a 2,499,3.1592276036720484,3.1592276036720484
