id_departamento,Rango etario,casos
6070.0,3 a 5,1697.0
6070.0,6 a 11,3706.0
6070.0,12 a 18,4484.0
6070.0,19 a 29,6363.0
6070.0,30 a 45,8851.0
6070.0,46 a 60,6351.0
6070.0,> 60,6243.0
,,
,,
6077.0,0 a 2,1209.0
6077.0,3 a 5,1435.0
6077.0,6 a 11,3046.0
6077.0,12 a 18,3457.0
6077.0,19 a 29,5177.0
6077.0,30 a 45,7050.0
6077.0,46 a 60,5247.0
6077.0,> 60,5456.0
,,
,,
6084.0,0 a 2,692.0
6084.0,3 a 5,916.0
6084.0,6 a 11,1912.0
6084.0,12 a 18,2380.0
6084.0,19 a 29,2962.0
6084.0,30 a 45,4429.0
6084.0,46 a 60,3733.0
6084.0,> 60,4161.0
,,
,,
6091.0,0 a 2,10963.0
6091.0,3 a 5,14843.0
6091.0,6 a 11,35310.0
6091.0,12 a 18,41619.0
6091.0,19 a 29,60272.0
6091.0,30 a 45,83327.0
6091.0,46 a 60,60377.0
6091.0,> 60,51617.0
,,
,,
6098.0,0 a 2,3377.0
6098.0,3 a 5,4327.0
6098.0,6 a 11,10089.0
6098.0,12 a 18,11412.0
6098.0,19 a 29,16999.0
6098.0,30 a 45,23227.0
6098.0,46 a 60,16521.0
6098.0,> 60,14733.0
,,
,,
6105.0,0 a 2,1240.0
6105.0,3 a 5,1590.0
6105.0,6 a 11,3296.0
6105.0,12 a 18,3767.0
6105.0,19 a 29,5181.0
6105.0,30 a 45,8019.0
6105.0,46 a 60,6209.0
6105.0,> 60,7892.0
,,
,,
6112.0,0 a 2,1476.0
6112.0,3 a 5,1884.0
6112.0,6 a 11,4108.0
6112.0,12 a 18,4902.0
6112.0,19 a 29,6432.0
6112.0,30 a 45,10044.0
6112.0,46 a 60,7876.0
6112.0,> 60,9505.0
,,
,,
6119.0,0 a 2,1113.0
6119.0,3 a 5,1475.0
6119.0,6 a 11,3406.0
6119.0,12 a 18,4101.0
6119.0,19 a 29,5100.0
6119.0,30 a 45,7244.0
6119.0,46 a 60,5276.0
6119.0,> 60,4635.0
,,
,,
6126.0,0 a 2,3492.0
6126.0,3 a 5,4628.0
6126.0,6 a 11,10711.0
6126.0,12 a 18,12722.0
6126.0,19 a 29,18160.0
6126.0,30 a 45,25200.0
6126.0,46 a 60,17725.0
6126.0,> 60,15338.0
,,
,,
6134.0,0 a 2,2650.0
6134.0,3 a 5,3575.0
6134.0,6 a 11,8115.0
6134.0,12 a 18,8920.0
6134.0,19 a 29,11542.0
6134.0,30 a 45,16919.0
6134.0,46 a 60,10612.0
6134.0,> 60,8209.0
,,
,,
6140.0,0 a 2,555.0
6140.0,3 a 5,625.0
6140.0,6 a 11,1468.0
6140.0,12 a 18,1686.0
6140.0,19 a 29,2495.0
6140.0,30 a 45,3805.0
6140.0,46 a 60,2620.0
6140.0,> 60,2628.0
,,
,,
6147.0,0 a 2,752.0
6147.0,3 a 5,979.0
6147.0,6 a 11,2127.0
6147.0,12 a 18,2474.0
6147.0,19 a 29,3438.0
6147.0,30 a 45,5011.0
6147.0,46 a 60,4039.0
6147.0,> 60,4085.0
,,
,,
6154.0,0 a 2,479.0
6154.0,3 a 5,628.0
6154.0,6 a 11,1331.0
6154.0,12 a 18,1492.0
6154.0,19 a 29,1965.0
6154.0,30 a 45,2912.0
6154.0,46 a 60,2460.0
6154.0,> 60,2740.0
,,
,,
6161.0,0 a 2,658.0
6161.0,3 a 5,785.0
6161.0,6 a 11,1627.0
6161.0,12 a 18,2009.0
6161.0,19 a 29,2727.0
6161.0,30 a 45,3951.0
6161.0,46 a 60,2751.0
6161.0,> 60,2837.0
,,
,,
6168.0,0 a 2,344.0
6168.0,3 a 5,416.0
6168.0,6 a 11,888.0
6168.0,12 a 18,1029.0
6168.0,19 a 29,1548.0
6168.0,30 a 45,2120.0
6168.0,46 a 60,1596.0
6168.0,> 60,1610.0
,,
,,
6175.0,0 a 2,902.0
6175.0,3 a 5,1112.0
6175.0,6 a 11,2418.0
6175.0,12 a 18,2994.0
6175.0,19 a 29,4370.0
6175.0,30 a 45,6104.0
6175.0,46 a 60,4530.0
6175.0,> 60,4976.0
,,
,,
6182.0,0 a 2,2021.0
6182.0,3 a 5,2684.0
6182.0,6 a 11,6284.0
6182.0,12 a 18,7493.0
6182.0,19 a 29,10660.0
6182.0,30 a 45,14640.0
6182.0,46 a 60,10912.0
6182.0,> 60,11129.0
,,
,,
6189.0,0 a 2,499.0
6189.0,3 a 5,632.0
6189.0,6 a 11,1368.0
6189.0,12 a 18,1659.0
6189.0,19 a 29,1946.0
6189.0,30 a 45,3372.0
6189.0,46 a 60,2820.0
6189.0,> 60,3499.0
,,
,,
6196.0,0 a 2,815.0
6196.0,3 a 5,1075.0
6196.0,6 a 11,2404.0
6196.0,12 a 18,2553.0
6196.0,19 a 29,3198.0
6196.0,30 a 45,5046.0
6196.0,46 a 60,4242.0
6196.0,> 60,4777.0
,,
,,
6203.0,0 a 2,1308.0
6203.0,3 a 5,1573.0
6203.0,6 a 11,3775.0
6203.0,12 a 18,4180.0
6203.0,19 a 29,5436.0
6203.0,30 a 45,9450.0
6203.0,46 a 60,7663.0
6203.0,> 60,8328.0
,,
,,
6210.0,0 a 2,1578.0
6210.0,3 a 5,1940.0
6210.0,6 a 11,4504.0
6210.0,12 a 18,5651.0
6210.0,19 a 29,7833.0
6210.0,30 a 45,11670.0
6210.0,46 a 60,9114.0
6210.0,> 60,10119.0
,,
,,
6218.0,0 a 2,1294.0
6218.0,3 a 5,1873.0
6218.0,6 a 11,4228.0
6218.0,12 a 18,4971.0
6218.0,19 a 29,6067.0
6218.0,30 a 45,10016.0
6218.0,46 a 60,6733.0
6218.0,> 60,7009.0
,,
,,
6224.0,0 a 2,2173.0
6224.0,3 a 5,2733.0
6224.0,6 a 11,6129.0
6224.0,12 a 18,7531.0
6224.0,19 a 29,10455.0
6224.0,30 a 45,15671.0
6224.0,46 a 60,12022.0
6224.0,> 60,13840.0
,,
,,
6231.0,0 a 2,605.0
6231.0,3 a 5,790.0
6231.0,6 a 11,1704.0
6231.0,12 a 18,2110.0
6231.0,19 a 29,2655.0
6231.0,30 a 45,4006.0
6231.0,46 a 60,3091.0
6231.0,> 60,3367.0
,,
,,
6238.0,0 a 2,1171.0
6238.0,3 a 5,1398.0
6238.0,6 a 11,2888.0
6238.0,12 a 18,3479.0
6238.0,19 a 29,4842.0
6238.0,30 a 45,6804.0
6238.0,46 a 60,5182.0
6238.0,> 60,5641.0
,,
,,
6245.0,0 a 2,2057.0
6245.0,3 a 5,2860.0
6245.0,6 a 11,6608.0
6245.0,12 a 18,7828.0
6245.0,19 a 29,10587.0
6245.0,30 a 45,14602.0
6245.0,46 a 60,9975.0
6245.0,> 60,9461.0
,,
,,
6252.0,0 a 2,9606.0
6252.0,3 a 5,12294.0
6252.0,6 a 11,27457.0
6252.0,12 a 18,30240.0
6252.0,19 a 29,42934.0
6252.0,30 a 45,61769.0
6252.0,46 a 60,41231.0
6252.0,> 60,30540.0
,,
,,
6260.0,0 a 2,12180.0
6260.0,3 a 5,15490.0
6260.0,6 a 11,35257.0
6260.0,12 a 18,40096.0
6260.0,19 a 29,59266.0
6260.0,30 a 45,80135.0
6260.0,46 a 60,53434.0
6260.0,> 60,42022.0
,,
,,
6266.0,0 a 2,1495.0
6266.0,3 a 5,1929.0
6266.0,6 a 11,4195.0
6266.0,12 a 18,4585.0
6266.0,19 a 29,6281.0
6266.0,30 a 45,9567.0
6266.0,46 a 60,6556.0
6266.0,> 60,5428.0
,,
,,
6270.0,0 a 2,7330.0
6270.0,3 a 5,9825.0
6270.0,6 a 11,21962.0
6270.0,12 a 18,24742.0
6270.0,19 a 29,35722.0
6270.0,30 a 45,49221.0
6270.0,46 a 60,29377.0
6270.0,> 60,20441.0
,,
,,
6274.0,0 a 2,19960.0
6274.0,3 a 5,24703.0
6274.0,6 a 11,55183.0
6274.0,12 a 18,61698.0
6274.0,19 a 29,90439.0
6274.0,30 a 45,112665.0
6274.0,46 a 60,71598.0
6274.0,> 60,51857.0
,,
,,
6277.0,0 a 2,406.0
6277.0,3 a 5,470.0
6277.0,6 a 11,1070.0
6277.0,12 a 18,1312.0
6277.0,19 a 29,1656.0
6277.0,30 a 45,2196.0
6277.0,46 a 60,1806.0
6277.0,> 60,1843.0
,,
,,
6280.0,0 a 2,1625.0
6280.0,3 a 5,1945.0
6280.0,6 a 11,4115.0
6280.0,12 a 18,4961.0
6280.0,19 a 29,6720.0
6280.0,30 a 45,9952.0
6280.0,46 a 60,7488.0
6280.0,> 60,8501.0
,,
,,
6287.0,0 a 2,329.0
6287.0,3 a 5,429.0
6287.0,6 a 11,968.0
6287.0,12 a 18,1081.0
6287.0,19 a 29,1595.0
6287.0,30 a 45,2258.0
6287.0,46 a 60,1770.0
6287.0,> 60,1720.0
,,
,,
6294.0,0 a 2,557.0
6294.0,3 a 5,655.0
6294.0,6 a 11,1331.0
6294.0,12 a 18,1608.0
6294.0,19 a 29,2255.0
6294.0,30 a 45,3554.0
6294.0,46 a 60,2773.0
6294.0,> 60,3498.0
,,
,,
6301.0,0 a 2,719.0
6301.0,3 a 5,899.0
6301.0,6 a 11,1957.0
6301.0,12 a 18,2208.0
6301.0,19 a 29,2993.0
6301.0,30 a 45,4562.0
6301.0,46 a 60,3373.0
6301.0,> 60,3963.0
,,
,,
6308.0,0 a 2,99.0
6308.0,3 a 5,137.0
6308.0,6 a 11,285.0
6308.0,12 a 18,357.0
6308.0,19 a 29,400.0
6308.0,30 a 45,706.0
6308.0,46 a 60,546.0
6308.0,> 60,627.0
,,
,,
6315.0,0 a 2,639.0
6315.0,3 a 5,909.0
6315.0,6 a 11,2191.0
6315.0,12 a 18,2821.0
6315.0,19 a 29,3470.0
6315.0,30 a 45,5035.0
6315.0,46 a 60,3669.0
6315.0,> 60,3832.0
,,
,,
6322.0,0 a 2,392.0
6322.0,3 a 5,474.0
6322.0,6 a 11,1083.0
6322.0,12 a 18,1160.0
6322.0,19 a 29,1639.0
6322.0,30 a 45,2542.0
6322.0,46 a 60,2062.0
6322.0,> 60,2183.0
,,
,,
6329.0,0 a 2,630.0
6329.0,3 a 5,836.0
6329.0,6 a 11,1773.0
6329.0,12 a 18,2104.0
6329.0,19 a 29,2935.0
6329.0,30 a 45,4103.0
6329.0,46 a 60,2836.0
6329.0,> 60,2763.0
,,
,,
6336.0,0 a 2,169.0
6336.0,3 a 5,250.0
6336.0,6 a 11,549.0
6336.0,12 a 18,580.0
6336.0,19 a 29,709.0
6336.0,30 a 45,1132.0
6336.0,46 a 60,764.0
6336.0,> 60,693.0
,,
,,
6343.0,0 a 2,456.0
