provincia,departamento,jardines,poblacion_jardin,primarias,poblacion_primaria,secundarios,poblacion_secundaria
Santa Cruz,CORPEN AIKE,5,821.0,6,1663.0,6,1783.0
Santa Cruz,LAGO BUENOS AIRES,4,752.0,5,1375.0,4,1415.0
Santa Cruz,RIO CHICO,2,353.0,4,744.0,3,783.0
Santa Cruz,MAGALLANES,3,625.0,3,1489.0,3,1574.0
Santa Fe,ROSARIO,348,53739.0,347,117871.0,263,130364.0
Santa Fe,LA CAPITAL,196,24091.0,176,51558.0,131,59938.0
Santa Fe,GENERAL OBLIGADO,126,9407.0,149,19144.0,68,22348.0
Santa Fe,CASTELLANOS,127,8342.0,127,17526.0,54,20504.0
Santa Fe,SAN CRISTOBAL,107,3275.0,113,7064.0,46,8200.0
Santa Fe,LAS COLONIAS,98,4661.0,106,10020.0,43,11909.0
Santa Fe,GENERAL LOPEZ,95,8181.0,104,17783.0,60,20506.0
Santa Fe,VERA,84,2772.0,96,5622.0,29,6460.0
Santa Fe,9 DE JULIO,55,1464.0,72,3104.0,16,3817.0
Santa Fe,SAN JERONIMO,53,3767.0,62,7813.0,27,8888.0
Santa Fe,SAN LORENZO,50,9067.0,58,19715.0,44,20824.0
Santa Fe,SAN MARTIN,46,2844.0,53,6077.0,22,6928.0
Santa Fe,IRIONDO,38,3138.0,50,6722.0,26,7235.0
Santa Fe,SAN JUSTO,46,2052.0,46,4407.0,17,4999.0
Santa Fe,CONSTITUCION,38,3679.0,45,8043.0,32,9828.0
Santa Fe,CASEROS,32,3185.0,37,7096.0,30,8306.0
Santa Fe,SAN JAVIER,33,1622.0,36,3454.0,14,3561.0
Santa Fe,BELGRANO,18,1968.0,26,4246.0,15,4950.0
Santa Fe,GARAY,19,1219.0,22,2543.0,8,2615.0
Santiago del Estero,CAPITAL,140,15140.0,113,31921.0,97,35687.0
Santiago del Estero,BANDA,121,9064.0,105,18598.0,64,20112.0
Santiago del Estero,COPO,34,2124.0,77,4205.0,20,5128.0
Santiago del Estero,MORENO,46,2441.0,69,4781.0,22,6032.0
Santiago del Estero,PELLEGRINI,52,1418.0,69,3051.0,35,3520.0
Santiago del Estero,FIGUEROA,52,1183.0,68,2373.0,26,2901.0
Santiago del Estero,RIO HONDO,67,3438.0,68,7369.0,43,8056.0
Santiago del Estero,ALBERDI,37,1184.0,59,2442.0,18,2781.0
Santiago del Estero,GENERAL TABOADA,42,2553.0,53,5109.0,10,6327.0
Santiago del Estero,AVELLANEDA,30,1481.0,52,3000.0,26,3758.0
Santiago del Estero,JUAN F IBARRA,31,1139.0,47,2575.0,15,3014.0
Santiago del Estero,CHOYA,40,2071.0,47,4467.0,30,5329.0
Santiago del Estero,LORETO,52,1155.0,45,2577.0,29,3035.0
Santiago del Estero,OJO DE AGUA,29,758.0,44,1482.0,10,1865.0
Santiago del Estero,QUEBRACHOS,27,741.0,43,1334.0,12,1575.0
Santiago del Estero,ROBLES,46,2959.0,39,6060.0,24,7095.0
Santiago del Estero,SALAVINA,29,666.0,39,1443.0,19,1957.0
Santiago del Estero,JIMENEZ,27,980.0,38,1990.0,31,2441.0
Santiago del Estero,SAN MARTIN,27,610.0,36,1345.0,19,1737.0
Santiago del Estero,ATAMISQUI,26,822.0,26,1820.0,14,2228.0
Santiago del Estero,GUASAYAN,18,494.0,23,929.0,12,1107.0
Santiago del Estero,RIVADAVIA,12,261.0,16,561.0,3,627.0
Santiago del Estero,SARMIENTO,9,286.0,16,630.0,8,716.0
Santiago del Estero,SILIPICA,14,464.0,16,1008.0,14,1241.0
Santiago del Estero,AGUIRRE,10,434.0,13,908.0,6,1097.0
Santiago del Estero,BELGRANO,7,585.0,12,1115.0,5,1252.0
Santiago del Estero,MITRE,5,62.0,9,120.0,4,183.0
Tierra del Fuego,RIO GRANDE,26,4771.0,30,10167.0,25,11428.0
Tierra del Fuego,USHUAIA,26,3576.0,29,7604.0,26,8504.0
Tierra del Fuego,TOLHUIN,3,322.0,3,715.0,2,779.0
Tierra del Fuego,ANTARTIDA ARGENTINA,0,0.0,0,0.0,0,0.0
Tucumán,CAPITAL,186,24461.0,138,51884.0,144,59056.0
Tucumán,CRUZ ALTA,89,11658.0,76,25245.0,52,28012.0
Tucumán,LEALES,71,3089.0,71,6760.0,43,7848.0
Tucumán,BURRUYACU,56,2331.0,57,5233.0,39,5743.0
Tucumán,SIMOCA,52,1709.0,52,3784.0,28,4234.0
Tucumán,TAFI VIEJO,58,8495.0,48,18682.0,39,20891.0
Tucumán,CHICLIGASTA,44,4203.0,41,9110.0,31,10586.0
Tucumán,MONTEROS,41,3579.0,38,7986.0,24,9204.0
Tucumán,LULES,35,4717.0,31,10920.0,23,11725.0
Tucumán,YERBA BUENA,34,4689.0,31,10227.0,26,11669.0
Tucumán,RIO CHICO,32,3011.0,30,6593.0,26,7630.0
Tucumán,GRANEROS,30,800.0,30,1629.0,18,1864.0
Tucumán,TRANCAS,25,1163.0,25,2451.0,19,2881.0
Tucumán,TAFI DEL VALLE,22,1010.0,24,2270.0,11,2471.0
Tucumán,FAMAILLA,24,2322.0,23,4753.0,15,5343.0
Tucumán,JUAN B ALBERDI,20,1586.0,19,3478.0,13,4108.0
Tucumán,LA COCHA,17,992.0,18,2167.0,13,2672.0
