Departamento,provincia,cantidad
9 DE JULIO,Santa Fe,360
HURLINGHAM,Buenos Aires,356
EZEIZA,Buenos Aires,356
MONTECARLO,Misiones,352
VILLARINO,Buenos Aires,348
Comuna 10,Ciudad Autónoma de Buenos Aires,340
BERMEJO,Chaco,339
CORONEL SUAREZ,Buenos Aires,327
9 DE JULIO,Chaco,324
CHACABUCO,San Luis,312
CANDELARIA,Misiones,312
QUITILIPI,Chaco,303
TUNUYAN,Mendoza,303
GUAMINI,Buenos Aires,295
LIBERTADOR GRL SAN MARTIN,Misiones,290
CAPAYAN,Catamarca,288
BRAGADO,Buenos Aires,288
BARADERO,Buenos Aires,285
25 DE MAYO,Misiones,282
JUNIN,Mendoza,273
RAMALLO,Buenos Aires,272
TRENQUE LAUQUEN,Buenos Aires,268
GUALEGUAY,Entre Ríos,266
PRESIDENTE ROQUE SAENZ PEÑA,Córdoba,261
SAN ANTONIO,Río Negro,260
AVELLANEDA,Santiago del Estero,258
SAN PEDRO,Buenos Aires,256
SAN JAVIER,Santa Fe,252
AYACUCHO,San Luis,249
CHACABUCO,Chaco,249
FEDERAL,Entre Ríos,246
GENERAL TABOADA,Santiago del Estero,246
SAN ALBERTO,Córdoba,240
CHILECITO,La Rioja,237
USHUAIA,Tierra del Fuego,234
LACAR,Neuquén,232
9 DE JULIO,Buenos Aires,230
TORNQUIST,Buenos Aires,228
CAÑUELAS,Buenos Aires,226
SANTA LUCIA,San Juan,224
BRANDSEN,Buenos Aires,222
RANCUL,La Pampa,222
GENERAL PAZ,Corrientes,222
UTRACAN,La Pampa,220
PALPALA,Jujuy,220
CARLOS CASARES,Buenos Aires,216
SARGENTO CABRAL,Chaco,216
COPO,Santiago del Estero,216
CHACABUCO,Buenos Aires,214
PASO DE LOS LIBRES,Corrientes,213
SANTO TOME,Corrientes,208
SAN VICENTE,Buenos Aires,208
TALA,Entre Ríos,208
CONHELO,La Pampa,205
LA PAZ,Catamarca,204
FUTALEUFU,Chubut,204
