Cueanexo,Jurisdicción,Código de departamento,Común,Nivel inicial - Jardín maternal,Nivel inicial - Jardín de infantes,Primario,Secundario
20011100,Ciudad de Buenos Aires,2109,1.0,,,1.0,
20011200,Ciudad de Buenos Aires,2109,1.0,,,1.0,
20011300,Ciudad de Buenos Aires,2109,1.0,,,1.0,
20011400,Ciudad de Buenos Aires,2106,1.0,1.0,1.0,1.0,
20011500,Ciudad de Buenos Aires,2110,1.0,1.0,1.0,1.0,1.0
20011600,Ciudad de Buenos Aires,2112,1.0,,1.0,1.0,1.0
20011700,Ciudad de Buenos Aires,2107,1.0,,1.0,,
20011800,Ciudad de Buenos Aires,2101,1.0,1.0,1.0,1.0,1.0
20011900,Ciudad de Buenos Aires,2104,,,,,
20011901,Ciudad de Buenos Aires,2108,,,,,
20012000,Ciudad de Buenos Aires,2101,1.0,,,1.0,
20012100,Ciudad de Buenos Aires,2101,1.0,,,1.0,
20012300,Ciudad de Buenos Aires,2114,1.0,,,1.0,1.0
20012301,Ciudad de Buenos Aires,2114,1.0,1.0,1.0,,1.0
20012400,Ciudad de Buenos Aires,2113,,,,,
20012500,Ciudad de Buenos Aires,2114,1.0,,,1.0,
20012600,Ciudad de Buenos Aires,2113,1.0,1.0,1.0,1.0,1.0
20012700,Ciudad de Buenos Aires,2114,1.0,1.0,1.0,1.0,1.0
20012800,Ciudad de Buenos Aires,2114,1.0,,,1.0,
20012900,Ciudad de Buenos Aires,2113,1.0,,,,1.0
20013000,Ciudad de Buenos Aires,2115,1.0,,,1.0,
20013500,Ciudad de Buenos Aires,2104,1.0,,,1.0,
20013600,Ciudad de Buenos Aires,2112,1.0,,,1.0,
20013800,Ciudad de Buenos Aires,2112,1.0,,1.0,1.0,1.0
20013900,Ciudad de Buenos Aires,2107,1.0,,,1.0,
20014000,Ciudad de Buenos Aires,2111,1.0,,,1.0,
20014100,Ciudad de Buenos Aires,2107,1.0,,,1.0,
20014200,Ciudad de Buenos Aires,2111,1.0,1.0,1.0,1.0,1.0
20014300,Ciudad de Buenos Aires,2111,1.0,,,,1.0
20014400,Ciudad de Buenos Aires,2111,1.0,1.0,1.0,,
20014500,Ciudad de Buenos Aires,2111,1.0,,,,1.0
20014600,Ciudad de Buenos Aires,2101,1.0,,1.0,1.0,
20014700,Ciudad de Buenos Aires,2109,,,,,
20015000,Ciudad de Buenos Aires,2104,1.0,1.0,1.0,1.0,1.0
20015200,Ciudad de Buenos Aires,2115,1.0,,,,1.0
20015300,Ciudad de Buenos Aires,2108,1.0,,,1.0,
20015400,Ciudad de Buenos Aires,2104,1.0,,,1.0,
20015500,Ciudad de Buenos Aires,2107,1.0,1.0,1.0,,
20015700,Ciudad de Buenos Aires,2107,1.0,1.0,1.0,,
20015701,Ciudad de Buenos Aires,2107,1.0,,,1.0,
20015800,Ciudad de Buenos Aires,2105,1.0,1.0,1.0,,
20015801,Ciudad de Buenos Aires,2106,1.0,1.0,1.0,,
20015900,Ciudad de Buenos Aires,2115,1.0,,,,1.0
20016000,Ciudad de Buenos Aires,2115,1.0,,,1.0,
20016100,Ciudad de Buenos Aires,2111,1.0,,,1.0,
20016200,Ciudad de Buenos Aires,2110,,,,,
20016300,Ciudad de Buenos Aires,2111,1.0,,,,1.0
20016500,Ciudad de Buenos Aires,2107,1.0,,,1.0,
20016600,Ciudad de Buenos Aires,2111,1.0,,,1.0,
20016700,Ciudad de Buenos Aires,2111,1.0,,,1.0,
20016800,Ciudad de Buenos Aires,2111,1.0,,1.0,1.0,
20016900,Ciudad de Buenos Aires,2107,1.0,,,1.0,
20017000,Ciudad de Buenos Aires,2107,1.0,1.0,1.0,,
20017400,Ciudad de Buenos Aires,2103,1.0,,1.0,1.0,1.0
20017500,Ciudad de Buenos Aires,2105,1.0,,,,
20017700,Ciudad de Buenos Aires,2110,1.0,,1.0,,
20017701,Ciudad de Buenos Aires,2110,1.0,,1.0,,
20017702,Ciudad de Buenos Aires,2110,1.0,,1.0,,
20017800,Ciudad de Buenos Aires,2110,1.0,1.0,1.0,1.0,1.0
20017900,Ciudad de Buenos Aires,2112,,,,,
