Departamento,provincia,cantidad
CAÑUELAS,Buenos Aires,113
RIO GRANDE,Tierra del Fuego,113
CHICLIGASTA,Tucumán,113
BERMEJO,Chaco,113
SAN JUSTO,Santa Fe,113
PEHUAJO,Buenos Aires,112
SAN CARLOS,Mendoza,111
EL CARMEN,Jujuy,111
PELLEGRINI,Santiago del Estero,111
MORENO,Santiago del Estero,110
BOLIVAR,Buenos Aires,109
CORONEL SUAREZ,Buenos Aires,109
COPO,Santiago del Estero,108
BERISSO,Buenos Aires,108
RIVADAVIA,San Juan,108
CHACABUCO,Buenos Aires,107
ESQUINA,Corrientes,105
BIEDMA,Chubut,104
SANTO TOME,Corrientes,104
SAN VICENTE,Buenos Aires,104
BALCARCE,Buenos Aires,104
TALA,Entre Ríos,104
MARACO,La Pampa,103
FUTALEUFU,Chubut,102
LA PAZ,Catamarca,102
APOSTOLES,Misiones,101
QUITILIPI,Chaco,101
RIVADAVIA,Mendoza,101
TUNUYAN,Mendoza,101
ANTA,Salta,100
CHIMBAS,San Juan,100
FIGUEROA,Santiago del Estero,99
CHASCOMUS,Buenos Aires,99
CHOYA,Santiago del Estero,97
LA COSTA,Buenos Aires,96
LEDESMA,Jujuy,96
YERBA BUENA,Tucumán,96
PILAGAS,Formosa,95
CURUZU CUATIA,Corrientes,95
PATAGONES,Buenos Aires,95
BARADERO,Buenos Aires,95
LAVALLE,Corrientes,94
ROBLES,Santiago del Estero,94
LOBOS,Buenos Aires,94
GENERAL VILLEGAS,Buenos Aires,93
TINOGASTA,Catamarca,93
SANTA MARIA,Catamarca,92
CORONEL DE MARINA L ROSALES,Buenos Aires,92
SALADILLO,Buenos Aires,91
JUNIN,Mendoza,91
MONTEROS,Tucumán,90
AVELLANEDA,Río Negro,90
MAIPU,Chaco,90
LORETO,Santiago del Estero,90
LULES,Tucumán,90
RIO CHICO,Tucumán,89
JACHAL,San Juan,88
SIMOCA,Tucumán,88
MONTECARLO,Misiones,88
PRESIDENTE ROQUE SAENZ PEÑA,Córdoba,87
VILLARINO,Buenos Aires,87
MARCOS PAZ,Buenos Aires,86
AVELLANEDA,Santiago del Estero,86
SAN ANDRES DE GILES,Buenos Aires,85
GENERAL ROCA,Córdoba,85
GENERAL ALVARADO,Buenos Aires,85
POCITO,San Juan,84
CUSHAMEN,Chubut,84
SAN JAVIER,Santa Fe,84
CHACABUCO,Chaco,83
MERCEDES,Corrientes,83
O HIGGINS,Chaco,83
AYACUCHO,San Luis,83
SAN JAVIER,Misiones,82
GENERAL TABOADA,Santiago del Estero,82
ITUZAINGO,Corrientes,81
9 DE JULIO,Chaco,81
ALBERDI,Santiago del Estero,81
AYACUCHO,Buenos Aires,81
ISCHILIN,Córdoba,80
LAISHI,Formosa,80
BELLA VISTA,Corrientes,80
25 DE MAYO,Chaco,80
SANTA ROSA,Mendoza,80
CHILECITO,La Rioja,79
MONTE CASEROS,Corrientes,79
CONCEPCION,Corrientes,79
CANDELARIA,Misiones,78
ZAPALA,Neuquén,78
CAUCETE,San Juan,78
JIMENEZ,Santiago del Estero,77
LOBERIA,Buenos Aires,76
ENSENADA,Buenos Aires,76
MALARGUE,Mendoza,76
MAGDALENA,Buenos Aires,75
PRESIDENTE PERON,Buenos Aires,75
LAS FLORES,Buenos Aires,75
TRANCAS,Tucumán,75
MAR CHIQUITA,Buenos Aires,75
BRANDSEN,Buenos Aires,74
GENERAL PAZ,Corrientes,74
ISLAS DEL IBICUY,Entre Ríos,74
SARMIENTO,San Juan,72
CARLOS CASARES,Buenos Aires,72
CAPAYAN,Catamarca,72
SARGENTO CABRAL,Chaco,72
BRAGADO,Buenos Aires,72
25 DE MAYO,San Juan,72
PASO DE LOS LIBRES,Corrientes,71
SALADAS,Corrientes,70
JUAN F IBARRA,Santiago del Estero,70
NAVARRO,Buenos Aires,70
BELGRANO,Santa Fe,70
SAN ANTONIO DE ARECO,Buenos Aires,69
GENERAL JUAN MADARIAGA,Buenos Aires,69
TULUMBA,Córdoba,69
RIO SECO,Córdoba,68
HUMAHUACA,Jujuy,68
RAMALLO,Buenos Aires,68
ROSARIO VERA PEÑALOZA,La Rioja,67
12 DE OCTUBRE,Chaco,67
SALTO,Buenos Aires,67
GRANEROS,Tucumán,67
INDEPENDENCIA,Chaco,66
JUNIN,San Luis,66
CORONEL PRINGLES,Buenos Aires,66
TUPUNGATO,Mendoza,66
FELICIANO,Entre Ríos,66
SAN ANTONIO,Río Negro,65
ADOLFO ALSINA,Buenos Aires,64
ROJAS,Buenos Aires,63
EXALTACION DE LA CRUZ,Buenos Aires,63
OJO DE AGUA,Santiago del Estero,63
SALAVINA,Santiago del Estero,63
MATACOS,Formosa,63
